text;success;reference;tags
dezesseis catorze oitenta e nove oitenta e nove setenta e cinco zero três setenta e oito trinta e dois~;False;D1 U6 D1 U4 D80 U9 D80 U9 D70 U5 U0 U3 D70 U8 D30 U2;
quinze vinte e quatro oitenta treze  zero seis cinco sete  cinquenta nove sete;False;D1 U5 D20 U4 D80 D1 U3 U0 U6 U5 U7 D50 U9 U7;
zero trinta um trinta um trinta cinco nove três nove cinco nove três;False;U0 D30 U1 D30 U1 D30 U5 U9 U3 U9 U5 U9 U3;U5 U9 U3 U9 U5 U9 U3
zero oitenta cinco quarenta cinco vinte sete cinquenta sete setenta cinco noventa oito;False;U0 D80 U5 D40 U5 D20 U7 D50 U7 D70 U5 D90 U8;U8
a eme pê a erre o;False;A M P A R O;O
zero vinte três quatro seis oitenta oitenta um quinze quarenta dois;False;U0 D20 U3 U4 U6 D80 D80 U1 D1 U5 D40 U2;U2
esse i eme o e esse efe i ele agá o;False;S I M O E S F I L H O;O E
zero quatro seis sete dois oito quatro oito um sete um oito nove cinco três três;True;U0 U4 U6 U7 U2 U8 U4 U8 U1 U7 U1 U8 U9 U5 U3 U3;U0 U4 U6 U7 U2 U8 U4 U8 U1 U7 U1 U8 U9 U5 U3 U3
quarenta e dois setenta e dois quarenta zero meia catorze oitenta e um cinquenta e quatro trinta e nove;False;D40 U2 D70 U2 D40 U0 U6 D1 U4 D80 U1 D50 U4 D30 U9;
jota o erre gê e;False;J O R G E;
a ene tê o ene i o;False;A N T O N I O;I
jota o esse e;False;J O S E;
zero trinta um seis três cinco oito oito três cinco nove três dois;False;U0 D30 U1 U6 U3 U5 U8 U8 U3 U5 U9 U3 U2;U1 U6 U3 U5 U8 U8 U3 U5 U9 U3 U2
erre i bê e i erre ê o dê a esse ene e vê e esse;False;R I B E I R A O D A S N E V E S;E V
eme o esse esse o erre o;False;M O S S O R O;
jota o;False;J O;O
a ele e gê erre e tê e;False;A L E G R E T E;
a ele efe erre e dê o;False;A L F R E D O;O
zero um cinco seis quatro seis quatro dois seis sete um dois nove;True;U0 U1 U5 U6 U4 U6 U4 U2 U6 U7 U1 U2 U9;U0 U1 U5 U6 U4 U6 U4 U2 U6 U7 U1 U2 U9
zero quinze vinte dois vinte três cinco oito cinco sete nove dois;False;U0 D1 U5 D20 U2 D20 U3 U5 U8 U5 U7 U9 U2;U3 U5 U8 U5 U7 U9
oito meia dois dois três sete zero um zero três um zero meia meia nove cinco quatro;True;U8 U6 U2 U2 U3 U7 U0 U1 U0 U3 U1 U0 U6 U6 U9 U5 U4;U8 U6 U2 U2 U3 U7 U0 U1 U0 U3 U1 U0 U6 U6 U9 U5 U4
zero doze noventa quatro noventa seis cinquenta sete cinquenta sete dois nove;False;U0 D1 U2 D90 U4 D90 U6 D50 U7 D50 U7 U2 U9;U7 U2 U9
bê o a vê i esse tê a;False;B O A V I S T A;
zero quinze três nove quatro um oito cinco dois oito um;False;U0 D1 U5 U3 U9 U4 U1 U8 U5 U2 U8 U1;U3 U9 U4 U1 U8 U5 U2 U8 U1
zero um dois nove meia meia nove oito zero sete três um sete;True;U0 U1 U2 U9 U6 U6 U9 U8 U0 U7 U3 U1 U7;U0 U1 U2 U9 U6 U6 U9 U8 U0 U7 U3 U1 U7
a ele i ene e;False;A L I N E;E
meia dois três dois oito sete um meia dois zero cinco sete nove quatro meia;True;U6 U2 U3 U2 U8 U7 U1 U6 U2 U0 U5 U7 U9 U4 U6;U6 U2 U3 U2 U8 U7 U1 U6 U2 U0 U5 U7 U9 U4 U6
zero um cinco seis cinco seis seis oito um zero dois zero três;False;U0 D1 U5 U6 U5 U6 U6 U8 U1 U0 U2 U0 U3;U0 U1 U5 U6 U5 U6 U6 U8 U1 U0 U2 U0 U3
zero vinte três trinta quatro setenta quatro oitenta um trinta oito noventa seis;False;U0 D20 U3 D30 U4 D70 U4 D80 U1 D30 U8 D90 U6;U6
agá a eme i ele tê o ene;False;H A M I L T O N;O
um sete dois quatro meia três cinco oito zero nove;True;U1 U7 U2 U4 U6 U3 U5 U8 U0 U9;U1 U7 U2 U4 U6 U3 U5 U8 U0 U9
gê erre a vê a tê a i;False;G R A V A T A I;A I
esse a o ele e o pê o ele dê o;False;S A O L E O P O L D O;
zero um cinco noventa quatro nove seis um seis vinte nove meia meia;False;U0 D1 U5 D90 U4 U9 U6 U1 U6 D20 U9 U6 U6;U9 U6 U6
pê a u ele o eu errei aqui errei;False;P A U L O;
jota a i erre o;False;J A I R O;
nove oito dois cinco um nove dois meia quatro quatro meia cinco sete três zero;True;U9 U8 U2 U5 U1 U9 U2 U6 U4 U4 U6 U5 U7 U3 U0;U9 U8 U2 U5 U1 U9 U2 U6 U4 U4 U6 U5 U7 U3 U0
dois dois meia cinco sete zero nove quatro cinco oito um quatro três um oito;True;U2 U2 U6 U5 U7 U0 U9 U4 U5 U8 U1 U4 U3 U1 U8;U2 U2 U6 U5 U7 U0 U9 U4 U5 U8 U1 U4 U3 U1 U8
